cleaned_tweet,label,backtranslated_tweet
"even tho we got both sides of statement, we still don't know the exact details abt what happened behind the scenes. so , &amp; esp all of the production teams in that song are all in this together, they all should be held responsible.",Netral,"Although we have two other statements, we still don't know the exact details of what happened on the back screen."
udahhh kangennn lg woyyy wkwk bestie 24/7 :grimacing_face: . . . @ wearing klamby,Positif,"It's already, don't get up there."
"salah dua film kesayangan sepanjang masa, ‘while you were sleeping' dan ‘enchanted,' bakal tayang di mulai november! aaak!",Positif,"Salah two movies Kesayangan all the time, while you sleep and terpesona, will tayang on November!"
di ghosting customer ternyata lebih sakit daripada di ghosting ama crush:pensive_face:,Negatif,Customer ghost turned out to be more sick than ghost ama crush: mahal_face:
selfi healing saat hati hancur apa sih :smiling_face_with_tear:,Negatif,I'm going to kill myself when I'm broken.
are u want healing gysss??,Netral,Do you want to make me happy?
"live just for once, glory we have to gain while we are young, we will carry on stay on the line even it's full of pain never break up, we will rest when we are dead",Positif,"We'll have to get some time, we'll have to stay on the line even if it's full of pain never to be broken, we'll rest when we die."
"when you know why you like someone, it's a crush. when you have no reason or explanation, it's love.",Positif,"When you know why you like someone, it's a kegemukan. When you have no excuse or explanation, it's love."
"this is too much, i haven't even get to watch johnny's rc today or even greet ten happy birthday",Negatif,"I'm too much, I can't even watch Johnny's RC today or even say happy birthday."
"margin trading platform in bsc :smiling_face_with_heart-eyes: first amm-based decentralized margin trading on it! this is what we waiting for! already in beta test! and its token is $lev, which is scheduled for ido on at may 3rd. letsgoo! $bscpad",Netral,First Amm based decentralized trading margin in the upper part! this is what we are waiting for! we are already in the test beta!
sumpah ternyata crush gue dari zaman maba ternyata sempro hari ini:smiling_face_with_tear:,Netral,I swear it turned out to be a complete failure.
semakin mngerti knapa orang bkerja itu pda mngeluh dan butuh healing krena job descnya nambah tapi gajinya ndak,Negatif,"The world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people, and the world is full of people."
otw kab serang urusan kerjaan sambil santuy sunday funday :musical_score:,Positif,OW Kab Serang urusan pekerjaan sambil Santo hari Minggu:
mood swing sekali,Negatif,mood swing once
"kenapa harus cari kambing hitam sih anehnya, yg cuma dugaan doang even sadio mane aja bisa gagal di peluang ini kok wkwk apalagi dewangga",Negatif,Why should I look for a better way to do things?
"the more i work in a media agency, the more i can tell which “viral content” is a campaign content",Netral,"I'm working in media agencies, more and more I can know how to content viral yang is content campaign"
random banget ya hari ini. healing dadakan sama mas ustad:face_with_tears_of_joy:,Netral,Random banget ya hari ini. menyembuhkan dadakan sama mas ustad: wajah_dengan_teri_kebahagiaan:
"when you go would you even turn to say "" i dont love you like i did yesterday?",Negatif,"When you go, you even gonna say ""I don't love you like yesterday?"""
i prefer this korean pure quality,Positif,I like the quality of pure Korea.
"dipikirin gak dipikirin, ujung ujungnya tetep overthinking",Negatif,"I think I'm not thinking, but I'm thinking too much."
"jimin you are cute, funny, good with everyone, you also love the people around you, you are really the best for army. stay focused on your career don't care about the people who put you down , because we love you stay strong, jimin :purple_heart::purple_heart::purple_heart:",Positif,"Jimin you are sweet, funny, okay with all the people, you also love the orang-orang around you, you are really the best for the army. Stay focused on your career don't care about orang-orang that make you fall, because we love you stay strong, jimin: purple_heart::purple_heart::purple_heart:"
"asas praduga tak bersalah harus dijunjung oleh siapapun demi menjaga citra, hak dan martabat orang.",Netral,"Asas praduga tak guilty must be judged by siapapun demi to keep the citra, hak dan martabat orang."
untung maju mundur staycation wat long weekend ga jdi. ternyata tutup buku taun ini ga libur :loudly_crying_face: kerjo terngoyo dari hari senin sampe saiki. puncak e saiki karena besok setengah hari tok,Negatif,"Luckily, I'm going to stay here for a long weekend."
sing kate tarung petek ee opo samean bestie? eh brodie :loudly_crying_face:,Netral,Bernyanyi Kate Tarung Petek is the best friend of the family.
i'm literally dying:loudly_crying_face: apadayaku cm rakyat jelata yg ttp butuh duid :loudly_crying_face: nggak paham lg mo nangis,Negatif,I really do not understand how you are crying
"""new year, new salary, new journey, new boss, new overthinking, new problems""",Negatif,"""tahun baru, gaji baru, perjalanan baru, bos baru, berpikir berlebihan baru, masalah baru"""
asyar bestie .,Netral,Asyar ' s best friend .
"proud to be watching this father and son love, even though you're giving him som tough love. he made it. congrats",Positif,"I'm proud to see this love of father and son, even though you're a member of this love of Yang Hars."
spill mornin playlist kalian **** gais.,Netral,I'm going to write you a list of gay songs.
"nothing lasts forever, even cold november rain",Netral,"There is nothing that will last forever, even the cold November rain"
"wounds are not ""approval"" to bleed on people who didnt cut you. those wounds need to be healed, so you can stop pour the anger to anyone that cost relationship, friendship - in any form. self healing is a powerful practice of self love, universal love, and compassion.",Positif,"Luke is not ""perkenalan"" to be without blood on the orang yang tidak memotong Anda. Luke is it needs to be disembuhkan, so that you can stop swearing kemarahan on anyone who is spending relationship, persahabatan - in any form. penyembuhan diri is a practice that is kuat of love diri, universal, and love dear."
staycation..,Netral,The place to live..
bgstttttt w di cht crush :face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes:,Positif,bggstttt w di cht crush:face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes::face_with_crossed-out_eyes:
"i even didnt have any intention to get this album. but, i got it finally! thanks for the offline ga. wish you all the best! :two_hearts:",Positif,"I didn't even have any intention of getting this album. But, I finally got it!"
new adventures are around the corner. happy new year ! .id @ sampit,Positif,A new adventure around the corner .
"lepas dari soal macron ato kartun, apakah islam membenarkan orang menyembelih manusia hanya karena perbedaan keyakinan? kenapa tokoh2 politisi islam cenderung denial pada aksi2 biadab yg mengatas-namakan agama?",Negatif,"After Macron's question to Kartun, does Islam justify people's beliefs only because of differences in beliefs?"
even the villain is greatt!! :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:,Positif,Even penjahat itu hebat!!: thumbs_up_light_skin_tone:: thumbs_up_light_skin_tone:: thumbs_up_light_skin_tone:: thumbs_up_light_skin_tone:
kayaknya humble + clingy :call_me_hand:,Netral,I think it's low-key.
mental health issues are so important. if you need help please find someone you can trust to help you. don't let yourself damage.,Positif,mental health issues are very important. If you need help please find someone you can trust to help you. Don't let yourself be ruined.
"actually i don't mind getting kapan kawin question but the sekarang makin gemuk ya comment that i can't handle, because i know it's true :smiling_face_with_tear:",Negatif,"Actually, I don't mind getting married questions but now I'm making a lot of comments about you, because I know it's true:"
"i have crush on you, hbu?",Netral,"I'm in love with you, huh?"
mak tratap liat mantan lewat pake jazz plat aa tu sapa. dah lah ga mau over tp ttp aja overthinking ;),Negatif,I've never seen an ex-girlfriend wear a jazz record.
pengen staycation kalo liburan gini.. :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,Netral,I want to staycation like this holiday gini..::beaming_face_with_smile_eyes::beaming_face_with_smile_eyes::beaming_face_with_smile_eyes::beaming_face_with_smile_eyes::beaming_face_with_smile_eyes::beaming_face_with_smile_eyes:
alhamdulillah :melting_face::pleading_face: happy banget banget bangettt bisa healing ke :two_hearts:thank you :smiling_face_with_open_hands::sparkles:,Positif,Alhamdulillah: melting_face:: pleading_face: happy banget banget bangettt could make me feel good about you: dua_hearts: thanks:
"demi apapun aku sayang bgt sama keluarga aku, support system terbaik itu keluarga:white_heart:",Positif,Demi whatever I love my family my best support system is this family:white_heart:
"ppkm day 28 when you don't like your president and the gank, just do whatever you can do and around you can do to make a better place. don't blame him without a solution.",Positif,"If you don't like your president and the people you don't know, do whatever you can and do to make a better place."
salah satu alasan aku prefer apartemen ketimbang rumah tapak: ga akan ketemu ibu-ibu berhijab yang mulutnya kek jamban,Negatif,One of the reasons I like apartments more than other people's houses is that I will not meet my mom.
btw yg nge scream/growl bestie w si totong,Netral,BTW yang nge teriak/menggerutu bestie wsi totong
after i saw this i was even more proud. i always support you in any way hehe maybe until you have kids. thank you for this video i cry and feel proud to always support you. :loudly_crying_face::loudly_crying_face::purple_heart:,Positif,After seeing this I'm more proud. I'm always supporting you in any way.
"bener2 seharian cuma tiduran dikamar, overthinking, nangis, dahlah capej",Negatif,"I'm just going to be a little bit more busy, thinking too much, crying, coughing."
temen 1 geng staycation gak ngajak2 gua. trus minjem duit ke gua untuk have fun. sial. gua rebut juga nih sugar daddy lu pada satu2.,Negatif,I'm not going to buy a ticket to the hotel. I'm going to buy a ticket to the hotel.
"jangan lupa sebelum tidur untuk berwudhu, face wash, sikat gigi, memakai serum, lanjut overthinking.",Negatif,"Don't forget to go to bed, wash your face, brush your teeth, use serum, keep thinking too much."
for women who can actually afford that kind of kitchen :face_with_hand_over_mouth::face_with_hand_over_mouth:,Netral,For the ladies who really can afford to buy this type of kitchen it is:
"what are you talking about? the earth is fine! the climate which have optimum for living thing especially human to live in is not as usual, our egoistical side thinking we save the earth by doing green thing but truth to be told we just want to save ourself",Negatif,"What are you talking about? the earth is fine-okay! the climate that has optimal for living creatures especially humans for living is not as usual, if egois we think we save the earth by doing green things but the truth to say we just want to save ourselves"
omfg bestie!! im crying :loudly_crying_face::nail_polish_light_skin_tone::rainbow:,Netral,Oh my best! I cry:
nge crush kakel udh 10 th:pleading_face: doi upload uwu uwu terus dah tiap hari. kan akuuwuphobia,Negatif,Menghancurkan kakel udh 10th: pleading_face: doi upload uwu uwu continue saya every day. kan akuuwuphobia
"even tho i'm team djokovic, i love seeing nadal back on court",Positif,"Although I'm a Djokovic, I like to see Nadal back in court."
ini org plg kepo,Negatif,This is the first time that the
nasib emak emak yg napsu nyritain tetangganya gmn ya? buuu mending cari cuan jualan takjil mayan buu drpd kepo ama idup orang. serius banget mantaunya sampe ngira ngepet ya allah knp kocak bener :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Negatif,nasib emak yang napsu nyritain tetangganya gmn ya? buuu mending cari kuan jualan takjil mayan buu drpd kepo ama idup orang. serious banget mantaunya sampe ngira ngepet ya allah knp kocak bener: wajah_dengan_mata_kebahagiaan:: wajah_dengan_mata_kebahagiaan:: wajah_dengan_mata_kebahagiaan:: wajah_dengan_mata_kebahagiaan:: wajah_dengan_mata_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_kebahagiaan_ke
this's surely not the easy one. i'm exhausted :rolling_on_the_floor_laughing: (did a hm a day before :relieved_face:) check out my activity on strava:,Negatif,I'm not going to be a big fan of this.
"sjw tai anjing lah kesel gue. lo idup di indonesia bos, merubah stigma itu ga gampang. lo pgn org lain open sm pilihan lu but lo pun ga ngehargain mereka yg teguh sama pilihan mereka, dibilg close minded. terus klo mnrt gue menyimpang itu ttp harus gue normalize gitu? sehat lo???",Negatif,I don't know who will make me a better person. I don't know who will make me a better person. I don't know who will make me a better person.
"baru pertama ketemu setelah lulus smk. pas w sapa duluan dia mlongo aja, mikir kali yaa ni org siapa sih nyapa². begitu w lepas masker trs spill nama w. baru dia kenal:loudly_crying_face:",Netral,I just met him for the first time after graduating high school. I don't know who he is. I just know him.
even the sunset is jealous of ur smile,Positif,Even the sun is shining
"doing whole self-care routine in last day of 2020 is probably one of best decision i'd choose:"")",Positif,"Doing routine care of myself on the last day of the year 2020 may be one of the best decisions I'll choose:"")"
thats why my baby choose twitter buat spill testimoni perbatangannya :face_with_tears_of_joy:,Netral,That's why I chose Twitter to make a testimonial about her:
"saturday night just strolling around pejaten, kemang, and cipete; dan stop di dua coffee, enak banget suasananya. anak jaksel boleh lah mampir, jangan ke mall mulu xd",Positif,"Saturday night I was just walking around Pejaten, Kemang, Dan Cipete; dan stop di dua kopi, enak banget suasananya. Anak jaksel boleh mampir, jangan ke mall mulu xd"
"we actually could get her 6th debut oh **** im dizzy... lets focus on 34+35, i dont want 7 rings buywgfib moment again",Netral,"We can get a debut on the 6th oh **** im pusing... Mari focus on 34 + 35, I don't want 7 cincin buywgfib moment again"
si seneng deeptalk :grinning_face_with_sweat:,Positif,If you like deep talk: smiley_wajah_dengan_perkeringat:
thanks very much for your good signed of smiles and two thumbs up &amp; even signed of love to me many times!,Positif,Thank you so much for showing me a good smile and two more times and even showing me love many times!
"gatauu kenapa swing bgt mood w klo lagi ****:( kdg ceria kdg tiba"" pen nangis gangertiii :face_with_tears_of_joy::face_with_hand_over_mouth:",Negatif,I'm not sure why I'm so upset.
pengen tindik tiga di telinga tp takut dikatain kaya brandalan kalau dulurku yg gak open minded ngeliat..,Negatif,I want to see you but I'm afraid I'll see you if I can't see you.
coba kalo udah punya pacar atau crush tuh kasih tau. biar ekspektasi aku berubah ke yang lain.,Negatif,Try if you have a girlfriend or fall in love with you.
healing cerita nya :beaming_face_with_smiling_eyes: morning :sunflower:,Positif,Story of the newlyweds: beaming face with smiley eyes
literally me after stealing your heart:red_heart::sparkles:,Positif,I'm after stealing hatimu.
overthinking marai ra iso turu cuk,Negatif,thinking excessive marai ra iso turu cuk
"take a walk through the full of business &amp; wet weekend with mz after all the sleep deprived, stomachache, &amp; boredom today. hope it'll makes us happy even more. enjoy while it lasts. beautiful jakarta city night. :bouquet:",Positif,walk-jalan through full business &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp
"do i ever even cross your mind, just for a second?",Netral,"Did I ever come to your mind, just for a second?"
ajak aku main **** bestie :(,Negatif,I'm going to go with you.
"aku isoh kok senyum, santuy, raketan palsu rak yo koe ra peduli",Negatif,I know you're not a real person.
28/04/21hiking for the very first time ever. and probably the last time.,Netral,28/04/21 walking for the first time and maybe the last time.
"hari ini rasanya banyak kesel sama orang karna ngerasa kenapa ya kok orang2 ga sesuai sama apa yg udh gw ekspektasiin. mood swing banget dan capekk melototin laptop (baru kelar set1), trus skrg rasanya pengen nangis bersyukur masih bisa hidup sampai hari ini, gut nait teman2:smiling_face_with_smiling_eyes::sparkling_heart:",Positif,"Today I feel a lot of anger with my people because I feel why ya kok orang2 ga sesuai sama apa yang udh gw expectasiin. mood swing banget dan capekk melototin laptop (baru kelar set1), so now I feel like i wanna cry thankful i can still live till today, gut nait teman2: smile_wajah_dengan_menertawakan_mata::berkilau_hati:"
"kenapa sekarang dikit"" bilang ""healing""... lagi liburan bilang ""healing""...bingung jadinya emang ente lagi pada sakit yak ? ""ngopi dulu lah gk pake healang healing....",Negatif,"Why now a little say ""Membuhkan""... again holiday say ""Membuhkan""... so how does it be that you are again sick yak?"
mari bestie:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:,Netral,Mari bestie: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:: smiley_wajah_dengan_menertawakan_mata:
taun barumu ngapain bestie,Netral,Tahun Baru Spanyol bestie
"urang udah terlalu lama sendirian, jadi tidak terbiasa mengabari, tidak terbiasa diberi rentetan pertanyaan. urang ga worth it buat orang yang clingy, urg ga worth it buat orang yg posesif, urang ga worth it buat org yg harus atraktif chat. am sorry :)",Negatif,"Orang sudah terlalu lama sendirian, jadi tidak terbiasa mengabari, tidak terbiasa diberi sewa pertanyaan. Orang tidak layak membuat orang yang lengket, urg tidak layak membuat orang yang memiliki, orang tidak layak membuat orang yang harus menarik chat. sorry :)"
"sudah mencoba healing dengan macam bentuk pertanyaan ttg ""anak"". akhirnya kutampol sodara sendiri dengan berakhir beliau merasa bersalah dengan pertanyaannya",Negatif,"I've tried to solve all sorts of questions about ""child""."
apa yang membuat kamu pengen staycation dimalam tahun baru,Netral,What is it that makes you want to stay for a holiday?
"pada akhirnya, caption hanyalah caption, twit hanyalah twit, yg tau apa yg terjadi dan yg dirasa ya cuma diri sama tuhan aja, raqib atid dapet si spill, dikit tapi.",Positif,"In the end, the caption was just the caption, tweet was just a tweet, yang tahu apa yang terjadi dan yang dirasa ya cuma diri sama tuhan aja, raqib idid mendapat si spill, sedikit tapi."
"rausah kepo, marai gelo",Negatif,"Rausah kepo, marai gelo"
overthinking gue malem ini :,Negatif,I'm too thinking this afternoon:
"tonite closed with this meal, actually accompanying bestie for having this meal. but, it was tempted me too.:rolling_on_the_floor_laughing:",Positif,"Tonicity closed with this meal, actually went my best to eat this. But, it's tergoda my game.:rolling_on_the_floor_laughing:"
notif rame bgt grgr komen di base julid:face_without_mouth: gasuka... jd inget ngehide video tiktok karna fyp :' gasuka notif yg rame even itu positif comments,Negatif,Notif rame bgt grgr komen di base julid:face_without_mouth: gasuka... jd remember about the video tiktok karna fyp:' gasuka notif yang rame bahkan itu komentar positif
sampe lemes bestie:pensive_face:,Negatif,I'm not sure.
healing tp ga beneran healing soalnya dikejar deadline tugas kuliah:weary_face: tp gapapa lah yg penting viewnya beda dikit,Negatif,I'm really not really interested in this.
murid rasa bestie... seneng bgt bisa kenal kalian jugaa:red_heart: to : 6icp from : bu arin:heart_exclamation:,Positif,I'm glad I can get to know you guys.
"pernah nemu cwok yg meninggalkan hanya karna mood swing ku yg cepetnya sekedip mata . kirain bner gara2 itu , eh ternyata karena punya selir",Negatif,Have you ever found someone who leaves the road because the mood changes as quickly as I do.
no offences but jadi maba ipb ilmu gizi 2021 actually sucks!! semoga tgl 28 mei dapet selamat:blue_heart:,Negatif,I'm not wrong but I'm not really happy about it!
"rang-orang balik dari pangalengan beban hilang karena healing, lah aku balik pangalengan malah tambah bawa beban",Negatif,"Rang-orang balik dari pangalengan beban hilang karena penyembuhan, lah aku kembali pangalengan malah tambah bawa beban"
it doesnt even matter....,Netral,It's not even important...
emang tempat healing + ngadem disini:smiling_face_with_hearts:,Positif,I'm not sure what I'm saying.
makan bestie,Netral,Eat the best
date wish aing semoga nanti bisa traveling sama crush keliling bandung sama jogja,Netral,I wish you a good time and I will be able to travel with you
akhirnya healing jogak seminggo:pleading_face::rolling_on_the_floor_laughing:,Positif,Finally I'm going to start jogging.
"selamat ulang ta'un ma bestie :smiling_face_with_heart-eyes: semoga doa2 baik km segera dikabulkan allah ya , yang penting skrg sehat selalu dan semoga selalu dilindungi dan dijauhkan dari hal2 buruk amin :smiling_face_with_hearts::palms_up_together_light_skin_tone::white_heart: :victory_hand_light_skin_tone::face_blowing_a_kiss:",Positif,"Happy Birthday to your best friend: smile_wajah_dengan_hati-mata: hope to pray2 good km soon dikabulkan allah ya , yang penting sekarang sehat selalu dan semoga selalu dilindungi dan dijauhkan dari hal2 buruk amin: smile_wajah_dengan_hati:: telapak tangan_up_bersama_cahaya_tone:: white_hati:: kemenangan_tangan_cahaya_tone:: wajah_bergelembung_ciuman:"
yuk yg lagi butuh jasa doodle art bisa langsung dm aku. lagi musim graduation kan:backhand_index_pointing_right::backhand_index_pointing_left: atau mas/mba crush lagi ulang tahun bisa banget pake jasaku hehe ᅠ,Netral,I need more services to do doodle art can be done immediately. I can do it again.
"two years ago, i really had a chance to join club 27, to end my journey. somehow i have a feeling about what will happen with two last year, but i continue my life.",Positif,"Two years ago, I really had the chance to join Club 27, to end my journey. I don't know how I had feelings about what would happen with two years ago, but I'm going on with my life."
"apa saja sih yang ditanyakan teman-teman kepada ki ananda?bagaimana jawaban ki ananda?kita kepo'in aja :rolling_on_the_floor_laughing:video audio good morning, and smile :woozy_face:",Netral,What is it that you are saying to your friends?
masih overthinking?,Netral,Still too much to think?
i adore mba pingkan' voice in this song although she was my friend's ex but i think i have a crush on her alias klee imut kali pingkan ni ci :slightly_smiling_face:,Positif,I like the sound of Mba Pingkan in this song although he is my former friend but I think I am in love with aliasnya Klee imut Kali Pingkan ni Ci:
"seru juga salty sama org cabang. barusan ngelunasin tagihan cc :rolling_on_the_floor_laughing: tapi kl target mereka udah ijo ya yaudah si but still lumayan, 1x gaji. mamam noh",Negatif,"It's a good game as a same org branch. Barusan ngelunasin tagihan cc:rolling_on_the_floor_laughing: but kl target they're already green yudah si but still pretty, 1x gaji. mamam noh"
"kalo aksan cocoknya di teknik sipil, devan cocoknya di teknik spill.",Netral,"If Aksan matches the civil engineering, before the technical spill matches."
